time_of_travel,date,start,end
31 min,1463674028.2975318,"kraków, chodkiewicza",zabierzów
30 min,1463674633.6468987,"kraków, chodkiewicza",zabierzów
31 min,1463676011.6051683,"kraków, chodkiewicza",zabierzów
32 min,1463676071.7146513,"kraków, chodkiewicza",zabierzów
32 min,1463676311.4794643,"kraków, chodkiewicza",zabierzów
32 min,1463676373.220988,"kraków, chodkiewicza",zabierzów
32 min,1463676431.6896198,"kraków, chodkiewicza",zabierzów
32 min,1463676493.405157,"kraków, chodkiewicza",zabierzów
30 min,1463676551.0660856,"kraków, chodkiewicza",zabierzów
32 min,1463676612.1237898,"kraków, chodkiewicza",zabierzów
33 min,1463676671.165449,"kraków, chodkiewicza",zabierzów
30 min,1463676911.107139,"kraków, chodkiewicza",zabierzów
31 min,1463677211.3367627,"kraków, chodkiewicza",zabierzów
30 min,1463677512.5490632,"kraków, chodkiewicza",zabierzów
28 min,1463677812.2326438,"kraków, chodkiewicza",zabierzów
28 min,1463678119.525369,"kraków, chodkiewicza",zabierzów
27 min,1463678412.0975459,"kraków, chodkiewicza",zabierzów
30 min,1463678711.0776155,"kraków, chodkiewicza",zabierzów
